id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte
id808,Jornal,NOSSO JORNAL,ABAETÉ,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id2880,Jornal,CORREIO ABELARDENSE,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2881,Jornal,O FALCAO,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id5132,Jornal,TRIBUNA DE ABRE CAMPO,ABRE CAMPO,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia
id704,Jornal,JORNAL DO MARANHAO,AÇAILÂNDIA,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR
id199,Jornal,FOLHA DO SERTAO,ACOPIARA,n/d,CE,Ceará,Nordeste,Brasil,Secom/PR
id2263,Jornal,TRIBUNA DO VALE,AÇU,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR
id3951,Jornal,O IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3952,Jornal,DIARIO DO OESTE PAULISTA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id5551,Jornal,JORNAL DA CIDADE,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP
id5552,Jornal,JORNAL IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP
id435,Jornal,O RESGATE,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR
id1319,Jornal,JORNAL ACONTECENDO,ÁGUA BOA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR
id1493,Online,PORTAL MPIAUI,ÁGUA BRANCA,n/d,PI,Piauí,Nordeste,Brasil,Secom/PR
id3953,Jornal,CORREIO DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3954,Jornal,GAZETA DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id5553,Jornal,O IMPARCIAL,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP
id5554,Jornal,CORREIO,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP
id4950,Jornal,FOLHA DE ÁGUAS CLARAS,ÁGUAS CLARAS,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Atlas da Notícia
id3956,Jornal,TRIBUNA DAS AGUAS,ÁGUAS DE LINDÓIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id503,Online,IMPRENSA JA,ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id555,Jornal,GAZETA GOIANA E DF (EX GAZETA GOIANA),ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id2455,Jornal,DEUTSCHE INTEGRATION,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2456,Jornal,CORREIO AGUDENSE,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id3957,Jornal,CIDADE DE AGUDOS,AGUDOS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id111,Jornal,FOLHAO DA BAHIA,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR
id112,Jornal,GAZETA DOS MUNICIPIOS,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR
id63,Online,ALAGOINHAS HOJE,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR
id2457,Jornal,DIARIO DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2458,Jornal,EM QUESTAO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2459,Jornal,EXPRESSO MINUANO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id5152,Jornal,GAZETA DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id809,Jornal,A GAZETA,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id810,Jornal,ALEM PARAHYBA,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id811,Jornal,FOLHA REGIONAL,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id556,Jornal,CIDADE NOTICIA,ALEXÂNIA,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id812,Jornal,JORNAL DOS LAGOS,ALFENAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id5020,Jornal,JORNAL VOZ DO VALE,ALMENARA,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia
id813,Jornal,VIGIA DO VALE,ALMENARA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id814,Jornal,FAROL DAS GERAIS,ALMENARA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1517,Online,ATITUDE SUSTENTAVEL,ALMIRANTE TAMANDARÉ,RM Curitiba,PR,Paraná,Sul,Brasil,Secom/PR
id1632,Jornal,FOLHA DE TAMANDARÉ,ALMIRANTE TAMANDARÉ,RM Curitiba,PR,Paraná,Sul,Brasil,Secom/PR
